1,5,0,6545.8133333333,0,0.1615779533,0.08,0.01,0.01,6545.8133333333
1,5,1,6535.5266666667,0,0.1425424133,0.08,0.01,0.01,6535.5266666667
1,5,2,6550.8133333333,0,0.1160426233,0.08,0.01,0.01,6550.8133333333
1,5,3,6558.3566666667,0,0.09890523,0.08,0.01,0.01,6558.3566666667
1,5,4,6577.85,0,0.0983389967,0.08,0.01,0.01,6577.85
1,5,5,6607.8266666667,0,0.08728816,0.08,0.01,0.01,6607.8266666667
1,5,6,6663.12,0,0.0821040933,0.08,0.01,0.01,6663.12
1,5,7,6557.2133333333,0,0.07200112,0.08,0.01,0.01,6557.2133333333
1,5,8,6624.63,0,0.0675535167,0.08,0.01,0.01,6624.63
1,5,9,6652.0833333333,0,0.06907238,0.08,0.01,0.01,6652.0833333333
1,5,10,6669.7366666667,0,0.0657165833,0.08,0.01,0.01,6669.7366666667
1,5,11,6671.91,0,0.06377221,0.08,0.01,0.01,6671.91
1,5,12,6620.7566666667,0,0.06282557,0.08,0.01,0.01,6620.7566666667
1,5,13,6641.1533333333,0,0.0555877967,0.08,0.01,0.01,6641.1533333333
1,5,14,6797.67,0,0.0562650767,0.08,0.01,0.01,6797.67
1,5,15,6717.5433333333,0,0.0540584133,0.08,0.01,0.01,6717.5433333333
1,5,16,6775.8333333333,0,0.05314641,0.08,0.01,0.01,6775.8333333333
1,5,17,6731.3733333333,0,0.05125445,0.08,0.01,0.01,6731.3733333333
1,5,18,6869.3166666667,0,0.0520701233,0.08,0.01,0.01,6869.3166666667
1,5,19,6716.3433333333,0,0.05391012,0.08,0.01,0.01,6716.3433333333
1,5,20,6882.03,0,0.0492967067,0.08,0.01,0.01,6882.03
1,5,21,6852.9966666667,0,0.04479013,0.08,0.01,0.01,6852.9966666667
1,5,22,6801.3933333333,0,0.04491102,0.08,0.01,0.01,6801.3933333333
1,5,23,6831.3066666667,0,0.0479107967,0.08,0.01,0.01,6831.3066666667
1,5,24,6816.1633333333,0,0.0410876933,0.08,0.01,0.01,6816.1633333333
1,5,25,6714.1666666667,0,0.0471522367,0.08,0.01,0.01,6714.1666666667
1,5,26,6789.9633333333,0,0.04302338,0.08,0.01,0.01,6789.9633333333
1,5,27,6851.5033333333,0,0.0428607733,0.08,0.01,0.01,6851.5033333333
1,5,28,6794.5366666667,0,0.04031625,0.08,0.01,0.01,6794.5366666667
1,5,29,6852.97,0,0.0399465933,0.08,0.01,0.01,6852.97
1,5,30,6802.4733333333,0,0.0417608167,0.08,0.01,0.01,6802.4733333333
1,5,31,6851.32,0,0.04085164,0.08,0.01,0.01,6851.32
1,5,32,6797.0033333333,0,0.0389222033,0.08,0.01,0.01,6797.0033333333
1,5,33,6821.5233333333,0,0.0390089367,0.08,0.01,0.01,6821.5233333333
1,5,34,6816.8,0,0.0385790867,0.08,0.01,0.01,6816.8
1,5,35,6866.25,0,0.0418589133,0.08,0.01,0.01,6866.25
1,5,36,6860.9766666667,0,0.0384938,0.08,0.01,0.01,6860.9766666667
1,5,37,6844.6666666667,0,0.03900277,0.08,0.01,0.01,6844.6666666667
1,5,38,6887.3166666667,0,0.0376155967,0.08,0.01,0.01,6887.3166666667
1,5,39,6862.58,0,0.0355866933,0.08,0.01,0.01,6862.58
1,5,40,6845.1033333333,0,0.03609339,0.08,0.01,0.01,6845.1033333333
1,5,41,6836.5133333333,0,0.0345516267,0.08,0.01,0.01,6836.5133333333
1,5,42,6795.4066666667,0,0.0366778167,0.08,0.01,0.01,6795.4066666667
1,5,43,6807.7133333333,0,0.03617141,0.08,0.01,0.01,6807.7133333333
1,5,44,6909.9566666667,0,0.03622122,0.08,0.01,0.01,6909.9566666667
1,5,45,6885.57,0,0.0329861633,0.08,0.01,0.01,6885.57
1,5,46,6868.8133333333,0,0.03174698,0.08,0.01,0.01,6868.8133333333
1,5,47,6859.6933333333,0,0.0337009767,0.08,0.01,0.01,6859.6933333333
1,5,48,6936.28,0,0.0340474233,0.08,0.01,0.01,6936.28
1,5,49,6877.6066666667,0,0.0314922933,0.08,0.01,0.01,6877.6066666667
1,5,50,6960.79,0,0.0339379867,0.08,0.01,0.01,6960.79
1,5,51,6851.59,0,0.0315850567,0.08,0.01,0.01,6851.59
1,5,52,6924.7766666667,0,0.0331699967,0.08,0.01,0.01,6924.7766666667
1,5,53,6893.2766666667,0,0.0312587733,0.08,0.01,0.01,6893.2766666667
1,5,54,6876.7166666667,0,0.0320500867,0.08,0.01,0.01,6876.7166666667
1,5,55,6899.87,0,0.0312623467,0.08,0.01,0.01,6899.87
1,5,56,6854.21,0,0.0327239967,0.08,0.01,0.01,6854.21
1,5,57,6794.6633333333,0,0.03098054,0.08,0.01,0.01,6794.6633333333
1,5,58,6812.79,0,0.0300289933,0.08,0.01,0.01,6812.79
1,5,59,6783.0633333333,0,0.0318600567,0.08,0.01,0.01,6783.0633333333
1,5,60,6852.72,0,0.02923482,0.08,0.01,0.01,6852.72
1,5,61,6896.3833333333,0,0.0287278233,0.08,0.01,0.01,6896.3833333333
1,5,62,6979.5333333333,0,0.0287816467,0.08,0.01,0.01,6979.5333333333
1,5,63,6850.3966666667,0,0.0326504233,0.08,0.01,0.01,6850.3966666667
1,5,64,6932.5066666667,0,0.0296440767,0.08,0.01,0.01,6932.5066666667
1,5,65,6891.26,0,0.0286575933,0.08,0.01,0.01,6891.26
1,5,66,6970.5066666667,0,0.0271407433,0.08,0.01,0.01,6970.5066666667
1,6,0,6564.7733333333,0,0.1775052967,0.10,0.01,0.01,6564.7733333333
