1,-3,0,1.63304,0,61.71
1,-3,1,1.27673,0,60.97
1,-2,0,1.26404,0,60.66
1,-2,1,1.27033,0,63.43
1,-1,0,1.30596,0,60.76
1,-1,1,1.3107,0,61.44
1,0,0,1.26331,0,60.08
1,0,1,1.30454,0,61.05
1,1,0,0.673068,0,60.09
1,1,1,0.687181,0,60.99
1,2,0,0.437864,0,64.23
1,2,1,0.472266,0,62.82
2,-3,0,1.4952,0,73.13
2,-3,1,1.50511,0,74.43
2,-2,0,1.52368,0,74.92
2,-2,1,1.51482,0,73.67
2,-1,0,1.5511,0,75.04
2,-1,1,1.59081,0,74.56
2,0,0,1.55363,0,72.60
2,0,1,1.62345,0,74.27
2,1,0,0.838155,0,75.18
2,1,1,0.851446,0,74.35
2,2,0,0.55224,0,78.65
2,2,1,0.59527,0,77.89
3,-3,0,1.91476,0,95.98
3,-3,1,2.00766,0,95.72
3,-2,0,1.94829,0,96.82
3,-2,1,1.97199,0,97.98
3,-1,0,2.02446,0,101.18
3,-1,1,2.0072,0,95.84
3,0,0,1.9949,0,97.87
3,0,1,2.02853,0,96.91
3,1,0,1.06006,0,97.95
3,1,1,1.0459,0,100.14
3,2,0,1.23802,0,103.04
3,2,1,1.27716,0,100.56
4,-3,0,2.43197,0,129.67
4,-3,1,2.39998,0,134.21
4,-2,0,2.44299,0,128.29
4,-2,1,2.47731,0,127.89
4,-1,0,2.5017,0,129.50
4,-1,1,2.45033,0,128.74
4,0,0,2.44574,0,130.61
4,0,1,2.49509,0,130.27
4,1,0,1.33388,0,131.67
4,1,1,1.36403,0,127.26
4,2,0,1.85579,0,133.57
4,2,1,1.80192,0,133.24
5,-3,0,3.16266,0,173.12
5,-3,1,3.18402,0,170.94
5,-2,0,3.20185,0,173.56
5,-2,1,3.15774,0,176.28
5,-1,0,3.22261,0,174.95
5,-1,1,3.20532,0,174.11
5,0,0,3.37547,0,173.04
5,0,1,3.59258,0,172.84
5,1,0,1.8065,0,174.38
5,1,1,1.78991,0,177.00
5,2,0,2.51745,0,176.44
5,2,1,2.40547,0,181.01
6,-3,0,4.2062,0,232.75
6,-3,1,4.23698,0,232.91
6,-2,0,4.14848,0,226.23
6,-2,1,4.28862,0,234.00
6,-1,0,4.40057,0,241.41
6,-1,1,5.15355,0,237.95
6,0,0,4.48346,0,244.54
6,0,1,5.74403,0,236.78
6,1,0,2.37208,0,230.81
6,1,1,2.32047,0,234.61
6,2,0,3.24796,0,242.98
6,2,1,3.18682,0,245.51
7,-3,0,5.47021,0,314.93
7,-3,1,5.46247,0,312.46
7,-2,0,5.55512,0,307.59
7,-2,1,5.43141,0,305.81
7,-1,0,6.77457,0,347.36
7,-1,1,5.52498,0,324.51
7,0,0,5.60964,0,329.22
7,0,1,5.67674,0,332.35
7,1,0,3.11483,0,312.35
7,1,1,3.10612,0,306.91
7,2,0,4.12657,0,314.25
7,2,1,4.27155,0,308.58
8,-3,0,6.93423,0,419.59
8,-3,1,6.80156,0,406.08
8,-2,0,6.92896,0,412.99
8,-2,1,7.11168,0,403.90
8,-1,0,7.18264,0,409.52
8,-1,1,7.09401,0,419.42
8,0,0,7.07886,0,436.26
8,0,1,7.4556,0,423.50
8,1,0,4.41934,0,418.39
8,1,1,4.0675,0,425.45
8,2,0,5.48714,0,433.78
8,2,1,5.3918,0,426.84
9,-3,0,8.8213,0,535.09
9,-3,1,9.935,0,571.87
9,-2,0,8.96611,0,581.81
9,-2,1,9.87888,0,579.80
9,-1,0,8.85597,0,565.15
9,-1,1,10.272,0,556.89
9,0,0,9.15803,0,548.62
9,0,1,9.10628,0,545.92
9,1,0,16.685,0,598.93
9,1,1,10.2912,0,640.55
9,2,0,7.35942,0,575.03
9,2,1,6.96133,0,567.48
10,-3,0,11.7952,0,741.18
10,-3,1,11.9547,0,716.40
10,-2,0,17.5293,0,742.64
10,-2,1,12.4061,0,738.23
10,-1,0,12.9516,0,736.00
10,-1,1,12.2417,0,761.28
10,0,0,12.0246,0,728.87
10,0,1,12.0523,0,741.72
10,1,0,12.5895,0,750.11
10,1,1,12.8298,0,745.94
10,2,0,16.2454,0,782.15
10,2,1,18.5511,0,785.55
